Artist;Listeners;Daily Trend;Peak;PkListeners
Himesh Reshammiya;13;897;260;9
Rita Ora;13;829;17;13
Kehlani;13;773;404;24
Zendaya;13;750;898;74
Asees Kaur;13;746;431;21
Limp Bizkit;13;745;27;17
Gym Class Heroes;13;737;194;88
Galantis;13;730;4;41
Maren Morris;13;716;963;38
Rae Sremmurd;13;680;387;15
Los Tucanes De Tijuana;13;667;156;114
Arcane;13;661;956;16
Sam Feldt;13;606;617;35
Tems;13;595;161;5
The 1975;13;559;423;12
Foster The People;13;556;684;13
Cage The Elephant;13;554;549;6
Tulsi Kumar;13;553;64;6
Grupo Marca Registrada;13;553;62;113
Jesse & Joy;13;532;22;74
Alejandro Sanz;13;520;993;3
X Ambassadors;13;513;613;10
Sean Kingston;13;500;823;7
Rochak Kohli;13;497;98;15
Depeche Mode;13;481;263;61
Javed Ali;13;463;479;32
Dolly Parton;13;458;703;28
Dan + Shay;13;428;922;8
Coolio;13;406;704;27
King;13;383;3;30
Eyedress;13;377;144;83
Rex Orange County;13;355;48;2
Muse;13;344;215;6
Neeti Mohan;13;342;643;39
Silk Sonic;13;330;824;34
sped up nightcore;13;329;402;6
Ms. Lauryn Hill;13;327;564;26
Fast & Furious: The Fast Saga;13;285;863;65
Aitana;13;274;850;21
Wisin;13;261;16;28
Machine Gun Kelly;13;241;212;11
CÃ©line Dion;13;224;660;2
Florida Georgia Line;13;198;545;15
Lil Yachty;13;193;27;137
Shubh;13;187;776;20
Scorpions;13;184;116;6
Kordhell;13;164;820;6
Pearl Jam;13;161;368;19
KISS;13;149;841;15
Bazzi;13;111;121;4
Bring Me The Horizon;13;110;469;20
DJ Nelson;13;41;599;20
Chase Atlantic;13;3;848;44
Amaal Mallik;13;0;859;50
WILLOW;12;961;454;32
Dulquer Salmaan;12;956;266;350
Tammi Terrell;12;952;760;105
Blondie;12;949;446;1
The Smiths;12;939;257;15
Hariharan;12;936;969;978
Pablo AlborÃ¡n;12;915;982;5
Jowell & Randy;12;914;399;963
Laufey;12;906;283;184
The Strokes;12;906;248;8
Nicky Youre;12;895;618;38
Taio Cruz;12;885;150;24
Boney M.;12;859;29;2
girl in red;12;852;327;27
LuÃ­sa Sonza;12;779;320;295
Milo j;12;759;373;71
Yahritza Y Su Esencia;12;752;992;106
Van Morrison;12;740;150;36
The Game;12;704;338;4
Jack Johnson;12;696;219;9
NAV;12;685;475;55
Dermot Kennedy;12;666;199;20
Nio Garcia;12;636;759;3
MGMT;12;632;508;5
MarÃ­lia MendonÃ§a;12;621;397;36
Lata Mangeshkar;12;599;244;6
Gusttavo Lima;12;574;418;56
MNEK;12;574;196;21
Electric Light Orchestra;12;535;208;5
Jeremih;12;527;656;11
S3BZS;12;517;406;26
Kane Brown;12;491;654;25
Mc Don Juan;12;453;939;11
Evanescence;12;427;349;9
Benny Dayal;12;400;284;40
Bradley Cooper;12;397;414;12
Sid Sriram;12;396;163;8
Mau y Ricky;12;388;586;7
Henrique & Juliano;12;375;381;45
iann dior;12;374;919;65
Chino Pacas;12;362;414;207
Sky Rompiendo;12;316;903;32
Rahat Fateh Ali Khan;12;281;250;9
Fergie;12;233;12;13
Rick Ross;12;232;666;6
Payal Dev;12;229;639;21
Loreen;12;194;769;33
Foreigner;12;184;975;39
Eurythmics;12;176;576;18
Tyler Childers;12;153;177;109
Hailee Steinfeld;12;150;295;13
Gustavo Mioto;12;149;819;17
The Beach Boys;12;148;56;7
Selena Gomez & The Scene;12;134;825;86
Christina Perri;12;120;972;5
Dalex;12;120;281;15
Shekhar Ravjiani;12;105;273;21
Oscar Maydon;12;96;350;2
Chayanne;12;82;584;1
Matheus & Kauan;12;69;790;22
Yeat;12;57;928;78
Eric Clapton;12;22;195;7
Logic;12;3;658;7
M83;11;982;170;8
Luan Pereira;11;962;77;63
Michael BublÃ©;11;953;122;58
Noah Cyrus;11;929;770;14
Slipknot;11;905;27;5
S. P. Balasubrahmanyam;11;899;72;2
Ashe;11;866;980;23
will.i.am;11;865;210;10
Blur;11;847;80;68
Goodboys;11;828;871;28
Seeb;11;828;823;21
keshi;11;822;317;33
Kumaar;11;797;376;55
Felipe Amorim;11;785;140;58
Tina Turner;11;782;461;25
Calibre 50;11;776;754;4
CKay;11;767;760;27
Thundercat;11;752;53;27
Beach House;11;751;820;11
Normani;11;751;362;42
Morad;11;724;819;40
Luan Santana;11;716;351;17
James Hype;11;714;485;31
JatinLalit;11;711;637;1
Busta Rhymes;11;709;674;104
dazy;11;698;866;24
TPain;11;690;949;3
DNCE;11;686;566;7
Robbie Williams;11;681;764;20
Loud Luxury;11;678;616;17
SYML;11;673;747;6
SalimâSulaiman;11;668;946;4
Sigala;11;667;778;40
James Blunt;11;656;3;34
Ke Personajes;11;653;793;14
ZÃ© Neto & Cristiano;11;653;473;32
Luke Bryan;11;646;218;46
The Clash;11;627;935;23
Sade;11;627;309;11
AURORA;11;613;956;3
V;11;606;153;302
Saiko;11;603;478;210
A$AP Ferg;11;600;864;906
James Bay;11;592;902;75
Spice Girls;11;577;466;31
Lyanno;11;574;495;35
Paul McCartney;11;573;817;34
Tracy Chapman;11;560;802;39
INNA;11;553;441;24
Mari Fernandez;11;536;832;11
Johnny Cash;11;534;601;7
Wham!;11;533;536;7
Papa Roach;11;525;569;14
Aretha Franklin;11;524;332;12
Key Glock;11;519;380;52
The Pussycat Dolls;11;516;978;1
Ciara;11;498;96;29
Kate Bush;11;490;818;452
Sukhwinder Singh;11;489;132;56
FISHER;11;488;151;6
Lionel Richie;11;482;572;7
Anu Malik;11;473;160;3
WALK THE MOON;11;444;526;23
Simon & Garfunkel;11;409;572;1
Marc Anthony;11;403;42;9
Yuvan Shankar Raja;11;396;407;9
Billy Idol;11;379;187;1
Altamash Faridi;11;376;980;39
John Newman;11;366;247;19
3 Doors Down;11;363;335;26
Zac Brown Band;11;359;157;3
John Martin;11;351;478;26
K. S. Chithra;11;339;272;14
Los Enanitos Verdes;11;317;703;30
Cults;11;316;837;11
LinManuel Miranda;11;315;976;569
Mitski;11;310;399;29
Prince;11;296;425;6
Kadu Martins;11;268;989;12
Santa Fe Klan;11;255;812;143
Devi Sri Prasad;11;241;644;15
Tom Petty;11;238;824;16
Moneybagg Yo;11;237;831;14
The Walters;11;237;281;2
(G)IDLE;11;207;374;37
Ãejo;11;203;209;5
Jorge & Mateus;11;197;401;20
Brytiago;11;182;139;57
YG;11;179;867;14
Dove Cameron;11;178;406;504
Jaymes Young;11;176;774;37
The Doors;11;176;130;10
Soulja Boy;11;166;216;6
James Blake;11;165;921;42
$uicideboy$;11;158;631;24
Leon Bridges;11;155;370;1
Stromae;11;146;761;14
Joan Sebastian;11;144;520;2
Diljit Dosanjh;11;136;581;32
Amit Trivedi;11;134;514;7
Manu Chao;11;122;415;37
LISA;11;105;985;34
Seafret;11;59;486;19
JhenÃ© Aiko;11;26;717;9
Israel & Rodolffo;10;999;760;17
H.E.R.;10;995;651;12
SOG;10;993;866;97
Wesley SafadÃ£o;10;977;362;43
YNW Melly;10;970;283;278
Gurinder Gill;10;967;648;3
Diddy;10;949;396;46
Maiara & Maraisa;10;933;833;50
Carrie Underwood;10;920;421;64
Timmy Trumpet;10;917;802;24
Rod Stewart;10;902;571;686
The Smashing Pumpkins;10;902;411;13
Bailey Zimmerman;10;899;853;1
Bob Sinclar;10;876;773;10
La Oreja de Van Gogh;10;876;307;14
Gotye;10;840;730;29
Nas;10;831;547;50
Dimitri Vegas & Like Mike;10;829;912;4
Yo Yo Honey Singh;10;815;334;30
SofÃ­a Reyes;10;804;609;6
Counting Crows;10;803;347;7
Thaman S;10;780;487;4
Cosculluela;10;767;894;90
Hombres G;10;757;760;790
T.I.;10;744;267;64
La Adictiva;10;724;164;14
Juan Luis Guerra 4.40;10;718;577;128
TLC;10;668;115;23
Lenny Kravitz;10;665;928;3
Roxette;10;649;681;6
Justine Skye;10;635;767;45
Rammstein;10;629;300;7
INTERWORLD;10;600;701;4
Disturbed;10;586;327;10
Ben E. King;10;584;109;51
Ayra Starr;10;558;716;101
Rudimental;10;546;446;3
Chance the Rapper;10;543;446;1
6ix9ine;10;526;119;26
Darell;10;508;541;11
Sasha Alex Sloan;10;504;600;2
Jeremy Zucker;10;500;742;10
Beach Weather;10;491;90;5
Camila;10;489;182;14
KHEA;10;483;684;9
Soda Stereo;10;471;468;17
Shouse;10;465;461;27
Mumford & Sons;10;459;358;4
Korn;10;456;482;6
Mary J. Blige;10;456;126;10
Olivia NewtonJohn;10;431;333;26
KALEO;10;426;944;83
Survivor;10;411;352;5
John Lennon;10;405;541;37
Guilherme & Benuto;10;400;18;37
Cartel De Santa;10;378;22;8
2 Chainz;10;353;764;15
Kumar Sanu;10;349;727;3
Danna Paola;10;342;684;27
Cazzu;10;342;214;50
Shinda Kahlon;10;329;353;60
bbno$;10;325;79;4
Gigi D'Agostino;10;322;82;15
Jordan Davis;10;318;612;24
A7S;10;311;540;44
Fifth Harmony;10;304;947;3
fun.;10;301;628;45
Belanova;10;284;935;35
FAST BOY;10;276;283;17
Flume;10;274;981;687
Veigh;10;271;396;13
Mc Livinho;10;269;46;2
Regard;10;268;704;175
TOMORROW X TOGETHER;10;262;457;55
Thomas Rhett;10;242;227;20
SAINt JHN;10;240;598;16
Jess Glynne;10;229;614;13
Matheus Fernandes;10;225;156;58
Zion;10;224;872;15
AJR;10;205;951;25
Kenny Loggins;10;200;387;10
Wizkid;10;193;951;18
Marco Antonio SolÃ­s;10;190;863;1
Shadab Faridi;10;177;76;48
Three Days Grace;10;168;254;41
GAYLE;10;166;833;36
Kimbra;10;161;294;25
Yusuf / Cat Stevens;10;141;636;13
Hans Zimmer;10;132;691;21
Jessie Reyez;10;131;37;11
Lizzy McAlpine;10;123;490;37
Sadhana Sargam;10;114;594;2
Taiu;10;111;704;35
Owl City;10;95;113;12
Supertramp;10;76;850;45
NIKI;10;66;210;33
Simone Mendes;10;64;336;17
Chief Keef;10;46;109;6
Sting;10;42;495;4
